symbol,tier,source_category,categories,scan_priority,scanner_frequency,classification_basis
MRK,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
ABBV,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
PFE,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
TMO,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
ISRG,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
DHR,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
SYK,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
XOM,Tier 1,core,Mega Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
CVX,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
COP,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
SLB,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
EOG,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
MPC,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
VLO,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
OXY,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
DVN,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
HAL,Tier 1,core,Large Cap|Energy,100,every_scan,core scanner universe plus curated symbol category map
SPY,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
QQQ,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
DIA,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
IWM,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
SMH,Tier 1,core,Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
SOXX,Tier 1,core,Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
XLK,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
XLE,Tier 1,core,Energy,100,every_scan,core scanner universe plus curated symbol category map
XLF,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
XLV,Tier 1,core,Biotech,100,every_scan,core scanner universe plus curated symbol category map
ARKK,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
IBIT,Tier 1,core,Crypto,100,every_scan,core scanner universe plus curated symbol category map
GLD,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
SLV,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
USO,Tier 1,core,Energy,100,every_scan,core scanner universe plus curated symbol category map
TLT,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
HYG,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
UUP,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
VNQ,Tier 1,core,Small Cap,100,every_scan,core scanner universe plus curated symbol category map
BTC-USD,Tier 1,core,Crypto,100,every_scan,core scanner universe plus curated symbol category map
ETH-USD,Tier 1,core,Crypto,100,every_scan,core scanner universe plus curated symbol category map
RGTI,Tier 2,required_opportunity,Small Cap|Quantum|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Small Cap, Quantum, Growth, Momentum"
QBTS,Tier 2,required_opportunity,Small Cap|Quantum|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Small Cap, Quantum, Growth, Momentum"
QUBT,Tier 2,required_opportunity,Small Cap|Quantum|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Small Cap, Quantum, Growth, Momentum"
IONQ,Tier 2,required_opportunity,Mid Cap|Quantum|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Quantum, Growth, Momentum"
LITE,Tier 2,required_opportunity,Mid Cap|Quantum|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Quantum, Growth, Momentum"
RKLB,Tier 2,required_opportunity,Mid Cap|Space|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
ASTS,Tier 2,required_opportunity,Mid Cap|Space|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
LUNR,Tier 2,required_opportunity,Mid Cap|Space|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
TEM,Tier 2,required_opportunity,Mid Cap|AI|Biotech|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, AI, Biotech, Growth, Momentum"
SOUN,Tier 2,required_opportunity,Mid Cap|AI|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, AI, Growth, Momentum"
HIMS,Tier 2,required_opportunity,Mid Cap|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Growth, Momentum"
PL,Tier 2,required_opportunity,Mid Cap|Space|Growth|Momentum,70,regular,"curated required_opportunity opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
SMCI,Tier 2,ai,Mid Cap|AI|Semiconductor|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Semiconductor, Growth"
DELL,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
HPE,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
AI,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
PATH,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
BBAI,Tier 2,ai,Small Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Small Cap, AI, Growth"
RXRX,Tier 2,ai,Mid Cap|AI|Biotech|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Biotech, Growth"
SERV,Tier 2,ai,Small Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Small Cap, AI, Growth"
VRT,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
CEG,Tier 2,ai,Mid Cap|AI|Energy|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Energy, Growth"
OKLO,Tier 2,ai,Mid Cap|AI|Energy|Growth|Momentum,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Energy, Growth, Momentum"
NBIS,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
GTLB,Tier 2,ai,Mid Cap|AI|Cloud|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Growth"
ESTC,Tier 2,ai,Mid Cap|AI|Cloud|Growth|Momentum,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Growth, Momentum"
NET,Tier 2,ai,Mid Cap|AI|Cloud|Cybersecurity|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Cybersecurity, Growth"
HUBS,Tier 2,ai,Mid Cap|AI|Cloud|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Growth"
TEAM,Tier 2,ai,Mid Cap|AI|Cloud|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Growth"
DT,Tier 2,ai,Mid Cap|AI|Cloud|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Growth"
TOST,Tier 2,ai,Mid Cap|AI|Consumer|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Consumer, Growth"
DUOL,Tier 2,ai,Mid Cap|AI|Consumer|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Consumer, Growth"
TTD,Tier 2,ai,Mid Cap|AI|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Growth"
SE,Tier 2,ai,Mid Cap|AI|Cloud|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Growth"
MELI,Tier 2,ai,Mid Cap|AI|Cloud|Consumer|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Consumer, Growth"
DASH,Tier 2,ai,Mid Cap|AI|Cloud|Consumer|Growth,70,regular,"curated ai opportunity bucket mapped to Mid Cap, AI, Cloud, Consumer, Growth"
RBRK,Tier 2,ai,AI|Growth,70,regular,"curated ai opportunity bucket mapped to AI, Growth"
ARQQ,Tier 2,quantum,Mid Cap|Quantum|Growth|Momentum,70,regular,"curated quantum opportunity bucket mapped to Mid Cap, Quantum, Growth, Momentum"
IBM,Tier 2,quantum,Quantum|Growth|Momentum,70,regular,"curated quantum opportunity bucket mapped to Quantum, Growth, Momentum"
COHR,Tier 2,quantum,Mid Cap|Quantum|Semiconductor|Growth|Momentum,70,regular,"curated quantum opportunity bucket mapped to Mid Cap, Quantum, Semiconductor, Growth, Momentum"
MKSI,Tier 2,quantum,Mid Cap|Quantum|Semiconductor|Growth|Momentum,70,regular,"curated quantum opportunity bucket mapped to Mid Cap, Quantum, Semiconductor, Growth, Momentum"
HOOD,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
MARA,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
RIOT,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
CLSK,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
HUT,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
HIVE,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
BTBT,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
IREN,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
WULF,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
CORZ,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
CIFR,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
CAN,Tier 2,crypto_proxies,Mid Cap|Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Mid Cap, Crypto, Momentum"
BITB,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
FBTC,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
ARKB,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
GBTC,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
ETHA,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
ETHE,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
BITO,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
BLOK,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
BKCH,Tier 2,crypto_proxies,Crypto|Momentum,70,regular,"curated crypto_proxies opportunity bucket mapped to Crypto, Momentum"
SPIR,Tier 2,space,Small Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Small Cap, Space, Growth, Momentum"
IRDM,Tier 2,space,Mid Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
SATS,Tier 2,space,Mid Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
GSAT,Tier 2,space,Mid Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
NOC,Tier 2,space,Defense|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Defense, Space, Growth, Momentum"
SPCE,Tier 2,space,Mid Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
BKSY,Tier 2,space,Mid Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
VSAT,Tier 2,space,Mid Cap|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Space, Growth, Momentum"
TDY,Tier 2,space,Mid Cap|Defense|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Defense, Space, Growth, Momentum"
HEI,Tier 2,space,Mid Cap|Defense|Space|Growth|Momentum,70,regular,"curated space opportunity bucket mapped to Mid Cap, Defense, Space, Growth, Momentum"
GD,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
HII,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
LHX,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
LDOS,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
KTOS,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
AVAV,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
TXT,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
TDG,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
CW,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
BWXT,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
MRCY,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
HWM,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
SAIC,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
CACI,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
OSK,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
AXON,Tier 2,defense,Large Cap|Mid Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Mid Cap, Defense"
LOAR,Tier 2,defense,Large Cap|Small Cap|Defense,70,regular,"curated defense opportunity bucket mapped to Large Cap, Small Cap, Defense"
CRSP,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
NTLA,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
EDIT,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
BEAM,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
VRTX,Tier 2,biotech,Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Biotech, Growth"
REGN,Tier 2,biotech,Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Biotech, Growth"
MRNA,Tier 2,biotech,Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Biotech, Growth"
BNTX,Tier 2,biotech,Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Biotech, Growth"
GILD,Tier 2,biotech,Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Biotech, Growth"
BIIB,Tier 2,biotech,Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Biotech, Growth"
ALNY,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
SRPT,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
RARE,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
TGTX,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
EXEL,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
VKTX,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
NTRA,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
DNA,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
TMDX,Tier 2,biotech,Mid Cap|Biotech|Growth|Momentum,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth, Momentum"
IOVA,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
AXSM,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
HALO,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
IMVT,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
LEGN,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
ARGX,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
PCVX,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
INCY,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
IONS,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
TWST,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
DNLI,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
BBIO,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
ACLX,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
VIR,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
NVAX,Tier 2,biotech,Mid Cap|Biotech|Growth,70,regular,"curated biotech opportunity bucket mapped to Mid Cap, Biotech, Growth"
