symbol,company_name,sector,industry,final_score,final_decision,action,setup_type,data_provider,price_history_rows,confidence_score
CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment,73.79,AVOID,STRONG BUY,AVOID,yfinance,501,54.62
AON,Aon plc,Financial Services,Insurance Brokers,73.63,AVOID,BUY,AVOID,alpaca,506,62.62
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,73.32,AVOID,BUY,AVOID,alpaca,506,72.78
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,73.05,AVOID,BUY,AVOID,yfinance,501,72.78
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,72.89,AVOID,BUY,AVOID,alpaca,506,64.62
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,72.79,AVOID,STRONG BUY,AVOID,yfinance,501,54.62
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,72.71,AVOID,BUY,AVOID,alpaca,506,55.16
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,72.52,AVOID,BUY,AVOID,alpaca,506,64.39
UNP,Union Pacific Corporation,Industrials,Railroads,72.0,AVOID,BUY,AVOID,alpaca,506,64.62
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,71.96,AVOID,STRONG BUY,AVOID,alpaca,506,47.1
AD,"Array Digital Infrastructure, Inc.",Communication Services,Telecom Services,71.93,WATCH,BUY,PULLBACK,yfinance,501,84.62
CW,Curtiss-Wright Corporation,Industrials,Aerospace & Defense,71.48,AVOID,BUY,AVOID,yfinance,501,64.74
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,71.39,AVOID,BUY,AVOID,alpaca,506,64.62
WCC,"WESCO International, Inc.",Industrials,Industrial Distribution,71.25,AVOID,BUY,AVOID,yfinance,501,64.65
SAIA,"Saia, Inc.",Industrials,Trucking,71.24,AVOID,BUY,AVOID,yfinance,501,54.62
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,71.24,AVOID,BUY,AVOID,alpaca,506,64.62
MAS,Masco Corporation,Industrials,Building Products & Equipment,71.21,AVOID,BUY,AVOID,yfinance,501,54.62
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,71.04,AVOID,BUY,AVOID,alpaca,506,64.74
